title,link,schedule,location_name,address,tag,description
Spaghetti Dinner Fundraiser,https://www.pghcitypaper.com/pittsburgh/spaghetti-dinner-fundraiser/Event?oid=27576308,"Sun., April 6, 2-7 p.m.",John Paul I Center,"201 9th Street, Sharpsburg
Sharpsburg",Fundraisers,"Take a night off from cooking and enjoy Chef Joe's spaghetti and meatballs, salad, roll, and dessert. We will also have a silent auction of Steeler memorabilia, basket raffles, and a 50/50 raffle. All proceeds will benefit Addiction Recovery Ministry. 412-378-9290"
,,,,,,
Pittsburgh Fringe Festival,https://www.pghcitypaper.com/pittsburgh/pittsburgh-fringe-festival/Event?oid=27083258,"First Sunday of every month, 5 p.m. Continues through April 6",Fringe Central,"5020 Penn Ave, Pittsburgh
Bloomfield",Theater,"The Pittsburgh Fringe Festival 12th annual performing arts festival is an all-out, no-holds-barred, inclusive multi-disciplinary performing arts festival featuring international, national and local artists. The annual festival will be in multiple venues in Pittsburgh's East End from Bloomfield and Friendship to Garfield and East Liberty along Penn Avenue. The festival will showcase theater (physical, street, musical), comedy, visual arts, puppetry, family entertainment, music, dance, spoken word, opera, poetry, literature and shows we haven't even thought of yet! 3472326`"
Everything Goes! Variety Brunch,https://www.pghcitypaper.com/pittsburgh/everything-goes-variety-brunch/Event?oid=25277674,"First Sunday of every month, 11 a.m.-1 p.m.",The Bridge Music Bar,"6018 Broad Street, Pittsburgh
East Liberty",Burlesque,"The Velvet Hearts! and The Bridge Music Bar are pleased to present a monthly burlesque variety brunch - EVERYTHING GOES! The variety show brunch will take place the first Sunday of every month, show beginning at 12:00 PM / doors at 11:00 AM. Tables and bar seats are $20 a seat (tables sold as full tables). Show will include sizzling hot and nutritious performances, along with hearty yet zany crowd interaction! The show is a bit spicy, so 21+ recommended. Brunch and regular menu available (priced separately). 412-404-2216"
Arcade Community Comedy Nights,https://www.pghcitypaper.com/pittsburgh/arcade-community-comedy-nights/Event?oid=27533364,"Sundays, 7:30-9 p.m. Continues through May 25",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Join us at Arcade every Sunday and engage with our community. Maybe you'd like to participate in our improv jams with Select Start. Well Known Strangers, or our community in the Lucky Draw--or maybe you'd like to try your hand at stand-up or a variety act for Your ACT! Or maybe you'd just like to see what our community can bring together, Sunday nights are the place to see Arcade. (412) 339-0608"
Poetry & Pints,https://www.pghcitypaper.com/pittsburgh/poetry-and-pints/Event?oid=16510781,"First Monday of every month, 6-8 p.m.",Burgh'ers,"3601 Butler St., Pittsburgh
Lawrenceville",Literary,"Free monthly open mic poetry event at a great local brewery! Burgh'ers Brewing in Lawrenceville! Share original work, cover favorites. First-time readers encouraged! Show up, sign up, come when you can, leave when you must. Simple! Program partner of the Pittsburgh Poetry Collective. 412-440-7638"
StorySwap,https://www.pghcitypaper.com/pittsburgh/storyswap/Event?oid=1874055,"First Monday of every month, 7 p.m.",Northland Public Library,"300 Cumberland Rd., McCandless
McCandless",Literary,An open forum to swap stories. 412-366-8100
Traditional Irish Session Music,https://www.pghcitypaper.com/pittsburgh/traditional-irish-session-music/Event?oid=15831809,"First Monday of every month, 7:30 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh
Greenfield",Acoustic,Welcome to all skill levels. 412-315-7029
Troy Millette and the Fire Below (Acoustic Duo) + The Freeloaders (Acoustic),https://www.pghcitypaper.com/pittsburgh/troy-millette-and-the-fire-below-acoustic-duo-the-freeloaders-acoustic/Event?oid=27575179,"Thu., April 10, 7-10 p.m.",Poetry Lounge,"313 North Ave., Pittsburgh
Millvale",Rock,"Since emerging on the local circuit in 2009, Millette’s emotive and relatable lyrics have made him a staple of dives, clubs, and festivals across the northeast United States. That same year, the Fire Below received the title of Vermont’s “Best Folk Group” at the Seven Daysies Awards. In addition to hundreds of headlining shows, appearances at festivals like Grand Point North, and even a promotional run with Senator Bernie Sanders, Millette and company have shared bills with the likes of Counting Crows, 4123374403"
Grown Folks Book Fair,https://www.pghcitypaper.com/pittsburgh/grown-folks-book-fair/Event?oid=27569120,"Fri., April 11, 6-11 p.m.",Trace Brewing,"4312 Main Street, Pittsburgh
Bloomfield",Special,"📚✨ Step Back in Time & Book It to the Brewery! ✨📚 Get ready for a one-of-a-kind GROWN FOLKS BOOK FAIR, a nostalgic twist on the book fairs we adored as kids—reimagined for adults! This immersive event brings together literature, entertainment, and creativity in a vibrant atmosphere perfect for book lovers and fun seekers alike. 412-3354942"
Drake Bell,https://www.pghcitypaper.com/pittsburgh/drake-bell/Event?oid=27526425,"Fri., April 11, 8-10 p.m.",The Forge Urban Winery,"210 E 7th Ave, Homestead
Greensburg",Other Music,"The Forge Urban Winery and CE Presents welcome DRAKE BELL with special guest on Friday, April 11, 2025! Entry and seating for event attendees begin at 7:00 PM. Tickets are required for entry and are available for purchase exclusively at Eventbrite.com. Any tickets purchased from third-party distributors are not valid for entry. Please be advised that GENERAL ADMISSION tickets are standing room only and do not reserve a seat for the event. TABLE ticket packages are available in quantities of TWO (2) and FOUR (4) and guarantee your group a seat for the event. 412-481-7625"
Allies' 40th birthday party,https://www.pghcitypaper.com/pittsburgh/allies-40th-birthday-party/Event?oid=27393015,"Fri., April 11, 6-11 p.m.",Roxian Theatre,"425 Chartiers Ave, McKees Rocks
McKees Rocks",Fundraisers,"Allies for Health + Wellbeing invites you to celebrate and support 40 years of service to those living with and at risk of HIV. As our community’s needs have changed, we have grown from a small group of volunteers to more than 50 people dedicated to the care of all who come through our doors. Join us for our 40th birthday party, and your participation will help us continue our mission of inclusive, quality healthcare for years to come. 412-345-7456"
21+ Night: Paws and Claws,https://www.pghcitypaper.com/pittsburgh/21-night-paws-and-claws/Event?oid=27538273,"Fri., April 11, 6-10 p.m.",Carnegie Science Center,"1 Allegheny Avenue, Pittsburgh
North Side",Other Stuff,"From fur to scales to feathers, we can all agree that our pets are part of the family. Celebrate them with us at the Science Center on National Pet Day! Learn about some fun animal science, explore the exhibits after hours, and help local pets by bringing a toy or food donation. Snuggle up with some therapy dogs from Animal Friends, and learn about the mental health benefits of pets. Meet some purrfect adoptable cats from Oakland TNR (Trap, Neuter, Release) Meet the animal ambassadors who live at the Science Center and hear from our Animals & Habitats team. 4122373400"
"Bach Markus Passion with The Sebastians, Chatham Baroque & Joseph Marcell",https://www.pghcitypaper.com/pittsburgh/bach-markus-passion-with-the-sebastians-chatham-baroque-and-joseph-marcell/Event?oid=26093648,"Fri., April 11, 7:30-11:30 p.m.",Carnegie Music Hall,"4400 Forbes Avenue, Pittsburgh
Oakland",Classical,"Bach Markus Passion with The Sebastians, Chatham Baroque & Joseph Marcell Friday, April 11, 2025, 7:30 p.m. Led by Artistic Director Bill Barclay, Concert Theatre Works has created a first-ever staged production of Bach’s long-lost Markus Passion. Chatham Baroque is excited to partner with Concert Theatre Works and NYC based ensemble The Sebastians for a world-premiere of this important work as reconstructed by Malcolm Bruno and published by Breitkopf & Härtel. With an ensemble of 14 players and 4 singers supporting acclaimed actor Joseph Marcell as the Evangelist, this musical treasure is brought to life in a gripping theatrical format. (412) 687-1788"
Sweaty Already String Band,https://www.pghcitypaper.com/pittsburgh/sweaty-already-string-band/Event?oid=27540722,"Fri., April 11, 7:30 p.m.",Pizza Roma,"928 Rte.910, Cheswick
Fox Chapel",Acoustic,"We're headed up to Jim's stomping grounds for a show at Pizza Roma! No cover 21+ or with an adult. Pizza Roma is located at 928 PA-910, Cheswick, PA 15024 (in the Emmerling Plaza). Free parking is available onsite. 412-767-4009"
"The Magical Mystery Doors presents ""Zeppelin Reimagined""",https://www.pghcitypaper.com/pittsburgh/the-magical-mystery-doors-presents-zeppelin-reimagined/Event?oid=27508605,"Fri., April 11, 8-10:30 p.m.",The Lamp Theatre,"222 Main Street, Irwin
North Huntingdon",Rock,"ON SALE NOW! Visit https://www.lamptheatre.org/magical-mystery-doors or call 724-367-4000 to purchase Magical Mystery Doors is a tribute act that blends and layers the music of three legendary bands to create something new and unique for music fans everywhere. The Beatles, Led Zeppelin, and The Doors. These three iconic groups have changed the face of music as we know it. Their songs have become part of our history. Their melodies have moved people everywhere to “Come Together” in their love of music. Patrons attending a Magical Mystery Doors performance can expect to hear timeless tunes from each of these historic bands over 724-367-4000"
The Height of Land: Book Launch & Post-Post-Apocalyptic Party,https://www.pghcitypaper.com/pittsburgh/the-height-of-land-book-launch-and-post-post-apocalyptic-party/Event?oid=27528200,"Sat., April 12, 1-4 p.m.",Borland Garden,"N. Beatty & Black St., Pittsburgh
East Liberty",Literary,"Celebrate the release of THE HEIGHT OF LAND by M. C. Benner Dixon at this post-post-apocalyptic party! Enjoy a reading from the novel, set in a post-catastrophe world. Engage with local artists and craftspeople demonstrating low-tech skills of the future, bring a poem or song for the open mic, purchase new and used books from City Books, and more! Family friendly. Contemplate human ingenuity and the power of community in a beautiful city garden setting. Get your book signed by the author! More about the novel: bennerdixon.com/the-height-of-land"
SUBMACHINE + RIPPLE REVUE + RISING SEAS + MUK MUK & THE KEWKS,https://www.pghcitypaper.com/pittsburgh/submachine-ripple-revue-rising-seas-muk-muk-and-the-kewks/Event?oid=27553230,"Sat., April 12, 7 a.m.-11 p.m.",The Shred Shed,"732 East Warrington Ave, Pittsburgh
Allentown",Punk,"Submachine = PIttsburgh hardcore legends Ripple Revue = Old school Necracedia boys ""reunion"" Rising Seas = Pittsburgh melodic hardcore Muk Muk & The Kewks= kewky punk with members of Submachine and Misdeeds Door price = $10 or donation Show begins at 7:00 blackseedservices@gmail.com"
Walk MS: Pittsburgh,https://www.pghcitypaper.com/pittsburgh/walk-ms-pittsburgh/Event?oid=27197450,"Sat., April 12, 8 a.m.-12 p.m.",Point State Park,"601 Commonwealth Place, Pittsburgh
Downtown",Fundraisers,"Walk MS: Pittsburgh unites the MS community in the largest gathering of its kind to raise funds and make a difference for everyone living with MS. Whether you live with MS, love someone who does, or are part of the wider community, at Walk MS you can proudly display your role in the movement and be celebrated for the important part you play. 202-375-5615"
GUARDIAN STORAGE 2025 SPRING FREE SHRED-IT EVENT,https://www.pghcitypaper.com/pittsburgh/guardian-storage-2025-spring-free-shred-it-event/Event?oid=27563238,"Sat., April 12, 11 a.m.-2 p.m.",7452 McKnight Rd,"7452 McKnight Road, Pittsburgh
Ross",Other Stuff,"As a thank you to our customers and community, Guardian Storage is hosting a series of FREE Shred-It events throughout our Pittsburgh locations. These events provide a safe way to dispose of unwanted files, papers and documents free of charge and no purchase or commitment of any kind. The only request is a voluntary donation of cash or unopened school supplies at the event to help support The Education Partnership. Please limit to the equivalent of five file boxes' worth of paper waste and remove file clips before arrival. Not Specified"
,,,,,,
Pittsburgh Opera's April Song Shop Concert,https://www.pghcitypaper.com/pittsburgh/pittsburgh-operas-april-song-shop-concert/Event?oid=26776683,"Sat., April 12, 12-1 p.m.",Bitz Opera Factory,"2425 LIBERTY AVE., Pittsburgh
Strip District",Opera,"Pittsburgh Opera’s free, informal Song Shop concerts feature the Resident Artists of Pittsburgh Opera. Beginning at 12:00 PM on selected Saturdays of each month, October 2024–April 2025, these one-hour performances are free, fun, and open to everyone. Guests are encouraged to bring a friend and bring a lunch. FRIENDS of Pittsburgh Opera provide a reception after each Song Shop concert. 4122810912"
Easter Egg Hunt & Craft Fair,https://www.pghcitypaper.com/pittsburgh/easter-egg-hunt-and-craft-fair/Event?oid=27453276,"Sat., April 12, 12-3 p.m.",Celebration Villa of Lakemont Farms,"3275 Washington Pike, Bridgeville
Bridgeville",Festivals,"Hop on over for our Easter Egg Hunt & Craft Fair When: 4/12/2025 12:00 pm - 3:00 pm Where: Celebration Villa of Lakemont Farms 3275 Washington Pike Bridgeville Pa, 15017 Confirmed Vendors: Gallagher Home Health and Hospice Peddlers Stoop Shine Designs by Liz Mid- life creations Color Street Tysons Health and Wellness The crafty penguin Got Pride 365 Sparks and Cinders Publishing Beaded Bliss Staceys Custom Creations Charmed to meet you Angel Eye Designs Braclets by Becky and other crystals Salon Latitude Caring Hospice Crocheted by Ada Dnd Woodcrafting 4122210202"
